scenario,zone,productive_application_hours,turn_and_ferry_flight_hours,total_flight_hours,provisional_pls_mass_sorties,turnaround_hours,total_operating_hours
low_time,Z1,0.74,3.42,4.16,3,0.15,4.31
low_time,Z2,1.75,9.02,10.77,6,0.3,11.07
low_time,Z3,1.27,7.0,8.27,4,0.2,8.47
low_time,Z5,4.03,10.04,14.07,19,0.95,15.02
low_time,Z6,10.6,16.69,27.29,60,3.0,30.29
low_time,Z7,30.53,22.52,53.05,230,11.5,64.55
base,Z1,1.39,8.59,9.98,4,0.33,10.31
base,Z2,3.29,22.63,25.92,7,0.58,26.5
base,Z3,2.38,17.57,19.95,5,0.42,20.37
base,Z5,7.55,25.29,32.84,24,2.0,34.84
base,Z6,19.88,42.25,62.12,75,6.25,68.37
base,Z7,57.25,57.82,115.07,288,24.0,139.07
high_time,Z1,2.65,17.35,20.0,5,0.67,20.66
high_time,Z2,6.26,45.68,51.94,9,1.2,53.14
high_time,Z3,4.53,35.46,39.99,6,0.8,40.79
high_time,Z5,14.39,51.53,65.92,31,4.13,70.06
high_time,Z6,37.86,87.0,124.86,100,13.33,138.2
high_time,Z7,109.05,122.84,231.89,383,51.07,282.96
