zone,zone_name,selected_acres,common_name,usda_code,aerial_pls_lb_ac,zone_species_pls_lb
Z1,Z1 Riparian channel/bank — low,50.92,Blue wildrye,ELGL,3.2,162.94
Z1,Z1 Riparian channel/bank — low,50.92,Beardless / creeping wildrye,LETR5,3.5,178.22
Z1,Z1 Riparian channel/bank — low,50.92,Tufted hairgrass,DECE,0.4,20.37
Z1,Z1 Riparian channel/bank — low,50.92,Meadow barley,HOBR2,2.92,148.69
Z1,Z1 Riparian channel/bank — low,50.92,Western yarrow,ACMIO,0.24,12.22
Z1,Z1 Riparian channel/bank — low,50.92,Slender cinquefoil,POGR9,0.28,14.26
Z2,Z2 Riparian channel/bank — high,112.26,Blue wildrye,ELGL,3.2,359.23
Z2,Z2 Riparian channel/bank — high,112.26,Beardless / creeping wildrye,LETR5,3.5,392.91
Z2,Z2 Riparian channel/bank — high,112.26,Tufted hairgrass,DECE,0.4,44.9
Z2,Z2 Riparian channel/bank — high,112.26,Meadow barley,HOBR2,2.92,327.8
Z2,Z2 Riparian channel/bank — high,112.26,Western yarrow,ACMIO,0.24,26.94
Z2,Z2 Riparian channel/bank — high,112.26,Slender cinquefoil,POGR9,0.28,31.43
Z3,Z3 Riparian terrace/floodplain/wet meadow,78.07,Slender wheatgrass,ELTR7,0.48,37.47
Z3,Z3 Riparian terrace/floodplain/wet meadow,78.07,Blue wildrye,ELGL,1.92,149.89
Z3,Z3 Riparian terrace/floodplain/wet meadow,78.07,Western wheatgrass,PASM,1.28,99.93
Z3,Z3 Riparian terrace/floodplain/wet meadow,78.07,Beardless / creeping wildrye,LETR5,2.8,218.6
Z3,Z3 Riparian terrace/floodplain/wet meadow,78.07,Tufted hairgrass,DECE,0.36,28.11
Z3,Z3 Riparian terrace/floodplain/wet meadow,78.07,Meadow barley,HOBR2,2.19,170.97
Z3,Z3 Riparian terrace/floodplain/wet meadow,78.07,Western yarrow,ACMIO,0.12,9.37
Z3,Z3 Riparian terrace/floodplain/wet meadow,78.07,Slender cinquefoil,POGR9,0.16,12.49
Z5,Z5 Upland scabland/oak-juniper,394.08,Bluebunch wheatgrass,PSSP6,4.0,1576.32
Z5,Z5 Upland scabland/oak-juniper,394.08,Sandberg bluegrass,POSE,0.8,315.26
Z5,Z5 Upland scabland/oak-juniper,394.08,Thickspike wheatgrass,ELLA3,1.4,551.71
Z5,Z5 Upland scabland/oak-juniper,394.08,Idaho fescue,FEID,0.24,94.58
Z5,Z5 Upland scabland/oak-juniper,394.08,Bottlebrush squirreltail,ELEL5,2.1,827.57
Z5,Z5 Upland scabland/oak-juniper,394.08,Western wheatgrass,PASM,0.64,252.21
Z5,Z5 Upland scabland/oak-juniper,394.08,Prairie junegrass,KOMA,0.1,39.41
Z5,Z5 Upland scabland/oak-juniper,394.08,Blue flax,LILE3,0.4,157.63
Z5,Z5 Upland scabland/oak-juniper,394.08,Western yarrow,ACMIO,0.06,23.64
Z5,Z5 Upland scabland/oak-juniper,394.08,Blanketflower,GAAR,0.6,236.45
Z5,Z5 Upland scabland/oak-juniper,394.08,Snow buckwheat,ERNI2,0.052,20.49
Z6,Z6 Upland ponderosa/Douglas-fir,1171.75,Bluebunch wheatgrass,PSSP6,4.0,4687.0
Z6,Z6 Upland ponderosa/Douglas-fir,1171.75,Sandberg bluegrass,POSE,0.32,374.96
Z6,Z6 Upland ponderosa/Douglas-fir,1171.75,Slender wheatgrass,ELTR7,1.44,1687.32
Z6,Z6 Upland ponderosa/Douglas-fir,1171.75,Blue wildrye,ELGL,3.2,3749.6
Z6,Z6 Upland ponderosa/Douglas-fir,1171.75,Idaho fescue,FEID,1.2,1406.1
Z6,Z6 Upland ponderosa/Douglas-fir,1171.75,Big bluegrass,POSEA,0.2,234.35
Z6,Z6 Upland ponderosa/Douglas-fir,1171.75,Prairie junegrass,KOMA,0.1,117.18
Z6,Z6 Upland ponderosa/Douglas-fir,1171.75,Blue flax,LILE3,0.24,281.22
Z6,Z6 Upland ponderosa/Douglas-fir,1171.75,Western yarrow,ACMIO,0.09,105.46
Z6,Z6 Upland ponderosa/Douglas-fir,1171.75,Blanketflower,GAAR,0.48,562.44
Z7,Z7 Upland grand fir,3774.88,Bluebunch wheatgrass,PSSP6,1.28,4831.85
Z7,Z7 Upland grand fir,3774.88,Slender wheatgrass,ELTR7,1.68,6341.8
Z7,Z7 Upland grand fir,3774.88,Blue wildrye,ELGL,4.0,15099.52
Z7,Z7 Upland grand fir,3774.88,Idaho fescue,FEID,1.44,5435.83
Z7,Z7 Upland grand fir,3774.88,Prairie junegrass,KOMA,0.08,301.99
Z7,Z7 Upland grand fir,3774.88,Mountain brome,BRMA4,2.6,9814.69
Z7,Z7 Upland grand fir,3774.88,Western yarrow,ACMIO,0.12,452.99
Z7,Z7 Upland grand fir,3774.88,Blanketflower,GAAR,0.6,2264.93
Z7,Z7 Upland grand fir,3774.88,Elk sedge,CAGE2,1.62,6115.31
